date,a
08/06/2017 18:25:09,500
08/06/2017 18:40:09,500
08/06/2017 18:40:09,400
08/06/2017 18:55:09,400
08/06/2017 18:55:09,300
08/06/2017 19:10:09,300
08/06/2017 19:10:09,500
08/06/2017 19:25:09,500
08/06/2017 19:25:09,500
08/06/2017 19:40:09,500
08/06/2017 19:40:09,100
08/06/2017 19:55:09,100
08/06/2017 19:55:09,100
08/06/2017 20:10:09,100
08/06/2017 20:10:09,100
08/06/2017 20:25:09,100
08/06/2017 20:25:09,500
08/06/2017 20:40:09,500
08/06/2017 20:40:09,100
08/06/2017 20:55:09,100
08/06/2017 20:55:09,100
08/06/2017 21:10:09,100
08/06/2017 21:10:09,100
08/06/2017 21:25:09,100
08/06/2017 21:25:09,100
08/06/2017 21:40:09,100
08/06/2017 21:40:09,100
08/06/2017 21:55:09,100
08/06/2017 21:55:09,200
08/06/2017 22:10:09,200
08/06/2017 22:10:09,100
08/06/2017 22:25:09,100
08/06/2017 22:25:09,100
08/06/2017 22:40:09,100
08/06/2017 22:40:09,100
08/06/2017 22:55:09,100
08/06/2017 22:55:09,200
08/06/2017 23:10:09,200
08/06/2017 23:10:09,200
08/06/2017 23:25:09,200
08/06/2017 23:25:09,200
08/06/2017 23:40:09,200
08/06/2017 23:40:09,200
08/06/2017 23:55:09,200
08/06/2017 23:55:09,100
09/06/2017 00:10:09,100
09/06/2017 00:10:09,200
09/06/2017 00:25:09,200
09/06/2017 00:25:09,100
09/06/2017 00:40:09,100
09/06/2017 00:40:09,100
09/06/2017 00:55:09,100
09/06/2017 00:55:09,400
09/06/2017 01:10:09,400
09/06/2017 01:10:09,200
09/06/2017 01:25:09,200
09/06/2017 01:25:09,200
09/06/2017 01:40:09,200
09/06/2017 01:40:09,200
09/06/2017 01:55:09,200
09/06/2017 01:55:09,200
09/06/2017 02:10:09,200
09/06/2017 02:10:09,200
09/06/2017 02:25:09,200
09/06/2017 02:25:09,200
09/06/2017 02:40:09,200
09/06/2017 02:40:09,200
09/06/2017 02:55:09,200
09/06/2017 02:55:09,200
09/06/2017 03:10:09,200
09/06/2017 03:10:09,100
09/06/2017 03:25:09,100
09/06/2017 03:25:09,200
09/06/2017 03:40:09,200
09/06/2017 03:40:09,200
09/06/2017 03:55:09,200
09/06/2017 03:55:09,200
09/06/2017 04:10:09,200
09/06/2017 04:10:09,200
09/06/2017 04:25:09,200
09/06/2017 04:25:09,100
09/06/2017 04:40:09,100
09/06/2017 04:40:09,200
09/06/2017 04:55:09,200
09/06/2017 04:55:09,100
09/06/2017 05:10:09,100
09/06/2017 05:10:09,200
09/06/2017 05:25:09,200
09/06/2017 05:25:09,200
09/06/2017 05:40:09,200
09/06/2017 05:40:09,100
09/06/2017 05:55:09,100
09/06/2017 05:55:09,200
09/06/2017 06:10:09,200
09/06/2017 06:10:09,200
09/06/2017 06:25:09,200
09/06/2017 06:25:09,200
09/06/2017 06:40:09,200
09/06/2017 06:40:09,200
09/06/2017 06:55:09,200
09/06/2017 06:55:09,200
09/06/2017 07:10:09,200
09/06/2017 07:10:09,200
09/06/2017 07:25:09,200
09/06/2017 07:25:09,100
09/06/2017 07:40:09,100
09/06/2017 07:40:09,100
09/06/2017 07:55:09,100
09/06/2017 07:55:09,200
09/06/2017 08:10:09,200
09/06/2017 08:10:09,100
09/06/2017 08:25:09,100
09/06/2017 08:25:09,100
09/06/2017 08:40:09,100
09/06/2017 08:40:09,100
09/06/2017 08:55:09,100
09/06/2017 08:55:09,200
09/06/2017 09:10:09,200
09/06/2017 09:10:09,100
09/06/2017 09:25:09,100
09/06/2017 09:25:09,100
09/06/2017 09:40:09,100
09/06/2017 09:40:09,200
09/06/2017 09:55:09,200
09/06/2017 09:55:09,100
09/06/2017 10:10:09,100
09/06/2017 10:10:09,100
09/06/2017 10:25:09,100
09/06/2017 10:25:09,100
09/06/2017 10:40:09,100
09/06/2017 10:40:09,100
09/06/2017 10:55:09,100
09/06/2017 10:55:09,200
09/06/2017 11:10:09,200
09/06/2017 11:10:09,100
09/06/2017 11:25:09,100
09/06/2017 11:25:09,200
09/06/2017 11:40:09,200
09/06/2017 11:40:09,100
09/06/2017 11:55:09,100
09/06/2017 11:55:09,100
09/06/2017 12:10:09,100
09/06/2017 12:10:09,100
09/06/2017 12:25:09,100
09/06/2017 12:25:09,200
09/06/2017 12:40:09,200
09/06/2017 12:40:09,100
09/06/2017 12:55:09,100
09/06/2017 12:55:09,100
09/06/2017 13:10:09,100
09/06/2017 13:10:09,100
09/06/2017 13:25:09,100
09/06/2017 13:25:09,200
09/06/2017 13:40:09,200
09/06/2017 13:40:09,200
09/06/2017 13:55:09,200
09/06/2017 13:55:09,100
09/06/2017 14:10:09,100
09/06/2017 14:10:09,100
09/06/2017 14:25:09,100
09/06/2017 14:25:09,100
09/06/2017 14:40:09,100
09/06/2017 14:40:09,500
09/06/2017 14:55:09,500
09/06/2017 14:55:09,100
09/06/2017 15:10:09,100
09/06/2017 15:10:09,500
09/06/2017 15:25:09,500
09/06/2017 15:25:09,100
09/06/2017 15:40:09,100
09/06/2017 15:40:09,100
09/06/2017 15:55:09,100
09/06/2017 15:55:09,200
09/06/2017 16:10:09,200
09/06/2017 16:10:09,100
09/06/2017 16:25:09,100
09/06/2017 16:25:09,200
09/06/2017 16:40:09,200
09/06/2017 16:40:09,500
09/06/2017 16:55:09,500
09/06/2017 16:55:09,100
09/06/2017 17:10:09,100
09/06/2017 17:10:09,300
09/06/2017 17:25:09,300
09/06/2017 17:25:09,500
09/06/2017 17:40:09,500
09/06/2017 17:40:09,500
09/06/2017 17:55:09,500
09/06/2017 17:55:09,400
09/06/2017 18:10:09,400
09/06/2017 18:10:09,500
09/06/2017 18:25:09,500
09/06/2017 18:25:09,400
09/06/2017 18:40:09,400
09/06/2017 18:40:09,300
09/06/2017 18:55:09,300
09/06/2017 18:55:09,400
09/06/2017 19:10:09,400
09/06/2017 19:10:09,100
09/06/2017 19:25:09,100
09/06/2017 19:25:09,100
09/06/2017 19:40:09,100
09/06/2017 19:40:09,200
09/06/2017 19:55:09,200
09/06/2017 19:55:09,300
09/06/2017 20:10:09,300
09/06/2017 20:10:09,300
09/06/2017 20:25:09,300
09/06/2017 20:25:09,300
09/06/2017 20:40:09,300
09/06/2017 20:40:09,100
09/06/2017 20:55:09,100
09/06/2017 20:55:09,100
09/06/2017 21:10:09,100
09/06/2017 21:10:09,100
09/06/2017 21:25:09,100
09/06/2017 21:25:09,200
09/06/2017 21:40:09,200
09/06/2017 21:40:09,200
09/06/2017 21:55:09,200
09/06/2017 21:55:09,100
09/06/2017 22:10:09,100
09/06/2017 22:10:09,200
09/06/2017 22:25:09,200
09/06/2017 22:25:09,200
09/06/2017 22:40:09,200
09/06/2017 22:40:09,100
09/06/2017 22:55:09,100
09/06/2017 22:55:09,100
09/06/2017 23:10:09,100
09/06/2017 23:10:09,100
09/06/2017 23:25:09,100
09/06/2017 23:25:09,200
09/06/2017 23:40:09,200
09/06/2017 23:40:09,100
09/06/2017 23:55:09,100
09/06/2017 23:55:09,100
10/06/2017 00:10:09,100
10/06/2017 00:10:09,200
10/06/2017 00:25:09,200
10/06/2017 00:25:09,100
10/06/2017 00:40:09,100
10/06/2017 00:40:09,200
10/06/2017 00:55:09,200
10/06/2017 00:55:09,200
10/06/2017 01:10:09,200
10/06/2017 01:10:09,200
10/06/2017 01:25:09,200
10/06/2017 01:25:09,200
10/06/2017 01:40:09,200
10/06/2017 01:40:09,200
10/06/2017 01:55:09,200
10/06/2017 01:55:09,200
10/06/2017 02:10:09,200
10/06/2017 02:10:09,100
10/06/2017 02:25:09,100
10/06/2017 02:25:09,200
10/06/2017 02:40:09,200
10/06/2017 02:40:09,200
10/06/2017 02:55:09,200
10/06/2017 02:55:09,200
10/06/2017 03:10:09,200
10/06/2017 03:10:09,200
10/06/2017 03:25:09,200
10/06/2017 03:25:09,200
10/06/2017 03:40:09,200
10/06/2017 03:40:09,200
10/06/2017 03:55:09,200
10/06/2017 03:55:09,200
10/06/2017 04:10:09,200
10/06/2017 04:10:09,200
10/06/2017 04:25:09,200
10/06/2017 04:25:09,100
10/06/2017 04:40:09,100
10/06/2017 04:40:09,100
10/06/2017 04:55:09,100
10/06/2017 04:55:09,200
10/06/2017 05:10:09,200
10/06/2017 05:10:09,200
10/06/2017 05:25:09,200
10/06/2017 05:25:09,100
10/06/2017 05:40:09,100
10/06/2017 05:40:09,100
10/06/2017 05:55:09,100
10/06/2017 05:55:09,100
10/06/2017 06:10:09,100
10/06/2017 06:10:09,100
10/06/2017 06:25:09,100
10/06/2017 06:25:09,200
10/06/2017 06:40:09,200
10/06/2017 06:40:09,100
10/06/2017 06:55:09,100
10/06/2017 06:55:09,200
10/06/2017 07:10:09,200
10/06/2017 07:10:09,200
10/06/2017 07:25:09,200
10/06/2017 07:25:09,200
10/06/2017 07:40:09,200
10/06/2017 07:40:09,100
10/06/2017 07:55:09,100
10/06/2017 07:55:09,100
10/06/2017 08:10:09,100
10/06/2017 08:10:09,200
10/06/2017 08:25:09,200
10/06/2017 08:25:09,100
10/06/2017 08:40:09,100
10/06/2017 08:40:09,300
10/06/2017 08:55:09,300
10/06/2017 08:55:09,500
10/06/2017 09:10:09,500
10/06/2017 09:10:09,500
10/06/2017 09:25:09,500
10/06/2017 09:25:09,300
10/06/2017 09:40:09,300
10/06/2017 09:40:09,100
10/06/2017 09:55:09,100
10/06/2017 09:55:09,300
10/06/2017 10:10:09,300
10/06/2017 10:10:09,500
10/06/2017 10:25:09,500
10/06/2017 10:25:09,100
10/06/2017 10:40:09,100
10/06/2017 10:40:09,100
10/06/2017 10:55:09,100
10/06/2017 10:55:09,500
10/06/2017 11:10:09,500
10/06/2017 11:10:09,500
10/06/2017 11:25:09,500
10/06/2017 11:25:09,100
10/06/2017 11:40:09,100
10/06/2017 11:40:09,100
10/06/2017 11:55:09,100
10/06/2017 11:55:09,100
10/06/2017 12:10:09,100
10/06/2017 12:10:09,100
10/06/2017 12:25:09,100
10/06/2017 12:25:09,400
10/06/2017 12:40:09,400
10/06/2017 12:40:09,300
10/06/2017 12:55:09,300
10/06/2017 12:55:09,400
10/06/2017 13:10:09,400
10/06/2017 13:10:09,300
10/06/2017 13:25:09,300
10/06/2017 13:25:09,300
10/06/2017 13:40:09,300
10/06/2017 13:40:09,400
10/06/2017 13:55:09,400
10/06/2017 13:55:09,300
10/06/2017 14:10:09,300
10/06/2017 14:10:09,300
10/06/2017 14:25:09,300
10/06/2017 14:25:09,300
10/06/2017 14:40:09,300
10/06/2017 14:40:09,500
10/06/2017 14:55:09,500
10/06/2017 14:55:09,400
10/06/2017 15:10:09,400
10/06/2017 15:10:09,500
10/06/2017 15:25:09,500
10/06/2017 15:25:09,500
10/06/2017 15:40:09,500
10/06/2017 15:40:09,100
10/06/2017 15:55:09,100
10/06/2017 15:55:09,100
10/06/2017 16:10:09,100
10/06/2017 16:10:09,100
10/06/2017 16:25:09,100
10/06/2017 16:25:09,200
10/06/2017 16:40:09,200
10/06/2017 16:40:09,100
10/06/2017 16:55:09,100
10/06/2017 16:55:09,100
10/06/2017 17:10:09,100
10/06/2017 17:10:09,100
10/06/2017 17:25:09,100
10/06/2017 17:25:09,100
10/06/2017 17:40:09,100
10/06/2017 17:40:09,400
10/06/2017 17:55:09,400
10/06/2017 17:55:09,400
10/06/2017 18:10:09,400
10/06/2017 18:10:09,400
10/06/2017 18:25:09,400
10/06/2017 18:25:09,500
10/06/2017 18:40:09,500
10/06/2017 18:40:09,400
10/06/2017 18:55:09,400
10/06/2017 18:55:09,400
10/06/2017 19:10:09,400
10/06/2017 19:10:09,400
10/06/2017 19:25:09,400
10/06/2017 19:25:09,500
10/06/2017 19:40:09,500
10/06/2017 19:40:09,500
10/06/2017 19:55:09,500
10/06/2017 19:55:09,300
10/06/2017 20:10:09,300
10/06/2017 20:10:09,400
10/06/2017 20:25:09,400
10/06/2017 20:25:09,400
10/06/2017 20:40:09,400
10/06/2017 20:40:09,400
10/06/2017 20:55:09,400
10/06/2017 20:55:09,300
10/06/2017 21:10:09,300
10/06/2017 21:10:09,500
10/06/2017 21:25:09,500
10/06/2017 21:25:09,500
10/06/2017 21:40:09,500
10/06/2017 21:40:09,400
10/06/2017 21:55:09,400
10/06/2017 21:55:09,400
10/06/2017 22:10:09,400
10/06/2017 22:10:09,400
10/06/2017 22:25:09,400
10/06/2017 22:25:09,200
10/06/2017 22:40:09,200
10/06/2017 22:40:09,100
10/06/2017 22:55:09,100
10/06/2017 22:55:09,100
10/06/2017 23:10:09,100
10/06/2017 23:10:09,100
10/06/2017 23:25:09,100
10/06/2017 23:25:09,100
10/06/2017 23:40:09,100
10/06/2017 23:40:09,200
10/06/2017 23:55:09,200
10/06/2017 23:55:09,200
11/06/2017 00:10:09,200
11/06/2017 00:10:09,100
11/06/2017 00:25:09,100
11/06/2017 00:25:09,100
11/06/2017 00:40:09,100
11/06/2017 00:40:09,100
11/06/2017 00:55:09,100
11/06/2017 00:55:09,100
11/06/2017 01:10:09,100
11/06/2017 01:10:09,200
11/06/2017 01:25:09,200
11/06/2017 01:25:09,200
11/06/2017 01:40:09,200
11/06/2017 01:40:09,200
11/06/2017 01:55:09,200
11/06/2017 01:55:09,100
11/06/2017 02:10:09,100
11/06/2017 02:10:09,100
11/06/2017 02:25:09,100
11/06/2017 02:25:09,200
11/06/2017 02:40:09,200
11/06/2017 02:40:09,200
11/06/2017 02:55:09,200
11/06/2017 02:55:09,200
11/06/2017 03:10:09,200
11/06/2017 03:10:09,200
11/06/2017 03:25:09,200
11/06/2017 03:25:09,200
11/06/2017 03:40:09,200
11/06/2017 03:40:09,200
11/06/2017 03:55:09,200
11/06/2017 03:55:09,200
11/06/2017 04:10:09,200
11/06/2017 04:10:09,200
11/06/2017 04:25:09,200
11/06/2017 04:25:09,200
11/06/2017 04:40:09,200
11/06/2017 04:40:09,200
11/06/2017 04:55:09,200
11/06/2017 04:55:09,200
11/06/2017 05:10:09,200
11/06/2017 05:10:09,200
11/06/2017 05:25:09,200
11/06/2017 05:25:09,200
11/06/2017 05:40:09,200
11/06/2017 05:40:09,100
11/06/2017 05:55:09,100
11/06/2017 05:55:09,100
11/06/2017 06:10:09,100
11/06/2017 06:10:09,200
11/06/2017 06:25:09,200
11/06/2017 06:25:09,200
11/06/2017 06:40:09,200
11/06/2017 06:40:09,100
11/06/2017 06:55:09,100
11/06/2017 06:55:09,200
11/06/2017 07:10:09,200
11/06/2017 07:10:09,100
11/06/2017 07:25:09,100
11/06/2017 07:25:09,100
11/06/2017 07:40:09,100
11/06/2017 07:40:09,500
11/06/2017 07:55:09,500
11/06/2017 07:55:09,100
11/06/2017 08:10:09,100
11/06/2017 08:10:09,200
11/06/2017 08:25:09,200
11/06/2017 08:25:09,100
11/06/2017 08:40:09,100
11/06/2017 08:40:09,100
11/06/2017 08:55:09,100
11/06/2017 08:55:09,100
11/06/2017 09:10:09,100
11/06/2017 09:10:09,400
11/06/2017 09:25:09,400
11/06/2017 09:25:09,500
11/06/2017 09:40:09,500
11/06/2017 09:40:09,300
11/06/2017 09:55:09,300
11/06/2017 09:55:09,300
11/06/2017 10:10:09,300
11/06/2017 10:10:09,200
11/06/2017 10:25:09,200
11/06/2017 10:25:09,100
11/06/2017 10:40:09,100
11/06/2017 10:40:09,100
11/06/2017 10:55:09,100
11/06/2017 10:55:09,100
11/06/2017 11:10:09,100
11/06/2017 11:10:09,100
11/06/2017 11:25:09,100
11/06/2017 11:25:09,100
11/06/2017 11:40:09,100
11/06/2017 11:40:09,100
11/06/2017 11:55:09,100
11/06/2017 11:55:09,200
11/06/2017 12:10:09,200
11/06/2017 12:10:09,100
11/06/2017 12:25:09,100
11/06/2017 12:25:09,100
11/06/2017 12:40:09,100
11/06/2017 12:40:09,100
11/06/2017 12:55:09,100
11/06/2017 12:55:09,300
11/06/2017 13:10:09,300
11/06/2017 13:10:09,500
11/06/2017 13:25:09,500
11/06/2017 13:25:09,500
11/06/2017 13:40:09,500
11/06/2017 13:40:09,500
11/06/2017 13:55:09,500
11/06/2017 13:55:09,500
11/06/2017 14:10:09,500
11/06/2017 14:10:09,400
11/06/2017 14:25:09,400
11/06/2017 14:25:09,200
11/06/2017 14:40:09,200
11/06/2017 14:40:09,100
11/06/2017 14:55:09,100
11/06/2017 14:55:09,200
11/06/2017 15:10:09,200
11/06/2017 15:10:09,100
11/06/2017 15:25:09,100
11/06/2017 15:25:09,100
11/06/2017 15:40:09,100
11/06/2017 15:40:09,400
11/06/2017 15:55:09,400
11/06/2017 15:55:09,200
11/06/2017 16:10:09,200
11/06/2017 16:10:09,100
11/06/2017 16:25:09,100
11/06/2017 16:25:09,100
11/06/2017 16:40:09,100
11/06/2017 16:40:09,100
11/06/2017 16:55:09,100
11/06/2017 16:55:09,100
11/06/2017 17:10:09,100
11/06/2017 17:10:09,300
11/06/2017 17:25:09,300
11/06/2017 17:25:09,200
11/06/2017 17:40:09,200
11/06/2017 17:40:09,300
11/06/2017 17:55:09,300
11/06/2017 17:55:09,100
11/06/2017 18:10:09,100
11/06/2017 18:10:09,200
11/06/2017 18:25:09,200
11/06/2017 18:25:09,100
11/06/2017 18:40:09,100
11/06/2017 18:40:09,100
11/06/2017 18:55:09,100
11/06/2017 18:55:09,200
11/06/2017 19:10:09,200
11/06/2017 19:10:09,100
11/06/2017 19:25:09,100
11/06/2017 19:25:09,100
11/06/2017 19:40:09,100
11/06/2017 19:40:09,100
11/06/2017 19:55:09,100
11/06/2017 19:55:09,100
11/06/2017 20:10:09,100
11/06/2017 20:10:09,100
11/06/2017 20:25:09,100
11/06/2017 20:25:09,100
11/06/2017 20:40:09,100
11/06/2017 20:40:09,100
11/06/2017 20:55:09,100
11/06/2017 20:55:09,100
11/06/2017 21:10:09,100
11/06/2017 21:10:09,100
11/06/2017 21:25:09,100
11/06/2017 21:25:09,100
11/06/2017 21:40:09,100
11/06/2017 21:40:09,100
11/06/2017 21:55:09,100
11/06/2017 21:55:09,200
11/06/2017 22:10:09,200
11/06/2017 22:10:09,100
11/06/2017 22:25:09,100
11/06/2017 22:25:09,100
11/06/2017 22:40:09,100
11/06/2017 22:40:09,100
11/06/2017 22:55:09,100
11/06/2017 22:55:09,100
11/06/2017 23:10:09,100
11/06/2017 23:10:09,200
11/06/2017 23:25:09,200
11/06/2017 23:25:09,100
11/06/2017 23:40:09,100
11/06/2017 23:40:09,200
11/06/2017 23:55:09,200
11/06/2017 23:55:09,100
12/06/2017 00:10:09,100
12/06/2017 00:10:09,200
12/06/2017 00:25:09,200
12/06/2017 00:25:09,100
12/06/2017 00:40:09,100
12/06/2017 00:40:09,100
12/06/2017 00:55:09,100
12/06/2017 00:55:09,100
12/06/2017 01:10:09,100
12/06/2017 01:10:09,200
12/06/2017 01:25:09,200
12/06/2017 01:25:09,200
12/06/2017 01:40:09,200
12/06/2017 01:40:09,200
12/06/2017 01:55:09,200
12/06/2017 01:55:09,200
12/06/2017 02:10:09,200
12/06/2017 02:10:09,100
12/06/2017 02:25:09,100
12/06/2017 02:25:09,200
12/06/2017 02:40:09,200
12/06/2017 02:40:09,200
12/06/2017 02:55:09,200
12/06/2017 02:55:09,200
12/06/2017 03:10:09,200
12/06/2017 03:10:09,200
12/06/2017 03:25:09,200
12/06/2017 03:25:09,100
12/06/2017 03:40:09,100
12/06/2017 03:40:09,100
12/06/2017 03:55:09,100
12/06/2017 03:55:09,200
12/06/2017 04:10:09,200
12/06/2017 04:10:09,200
12/06/2017 04:25:09,200
12/06/2017 04:25:09,200
12/06/2017 04:40:09,200
12/06/2017 04:40:09,100
12/06/2017 04:55:09,100
12/06/2017 04:55:09,100
12/06/2017 05:10:09,100
12/06/2017 05:10:09,200
12/06/2017 05:25:09,200
12/06/2017 05:25:09,200
12/06/2017 05:40:09,200
12/06/2017 05:40:09,100
12/06/2017 05:55:09,100
12/06/2017 05:55:09,200
12/06/2017 06:10:09,200
12/06/2017 06:10:09,100
12/06/2017 06:25:09,100
12/06/2017 06:25:09,100
12/06/2017 06:40:09,100
12/06/2017 06:40:09,100
12/06/2017 06:55:09,100
12/06/2017 06:55:09,100
